Pagenum,Response,Number of people / Jinhao,House in / Jinhao,Number of people / Max,House in / Max,Site(AB:1/CS:2),identical?,disagreement on people,disagreement on in/out
1,,1,1,1,1,1,1,,
2,,1,1,1,0,2,0,,1
3,,1,1,1,0,1,0,,1
4,,1,1,1,1,2,1,,
5,,1,0,1,0,1,1,,
6,,1,0,1,0,2,1,,
7,,1,0,1,0,1,1,,
8,,1,0,1,1,2,0,,1
9,,1,0,1,0,1,1,,
10,,2,1,1,0,2,0,1,1
11,,1,1,1,1,1,1,,
12,,1,1,1,1,2,1,,
13,,1,1,1,1,1,1,,
14,,1,0,1,0,2,1,,
15,,1,0,1,0,1,1,,
16,,1,0,1,1,2,0,,1
17,,4,0,4,0,1,1,,
18,,1,0,1,0,2,1,,
19,,1,0,1,0,1,1,,
20,,1,0,1,0,2,1,,
21,,2,1,2,1,1,1,,
22,,2,0,2,0,2,1,,
23,,0,0,0,0,1,1,,
24,,2,0,2,0,2,1,,
25,,1,0,1,0,1,1,,
26,,2,0,2,0,2,1,,
27,,1,1,1,1,1,1,,
28,,3,1,3,1,2,1,,
29,,1,0,1,1,1,0,,1
30,,1,1,2,0,2,0,1,1
31,,1,1,1,1,1,1,,
32,,2,1,2,1,2,1,,
33,,2,1,2,1,1,1,,
34,,1,0,1,1,2,0,,1
35,,1,1,1,1,1,1,,
36,,2,1,2,1,2,1,,
37,,2,0,2,1,1,0,,1
38,,0,0,0,0,2,1,,
39,,1,1,1,1,1,1,,
40,,2,0,2,0,2,1,,
41,,2,0,2,0,1,1,,
42,,1,0,1,0,2,1,,
43,,1,0,1,0,1,1,,
44,,0,1,0,1,2,1,,
45,,1,1,1,0,1,0,,1
46,,1,1,1,1,2,1,,
47,,1,0,1,0,1,1,,
48,,2,1,2,1,2,1,,
49,,1,0,1,0,1,1,,
50,,1,0,2,0,2,0,1,
51,,1,0,1,0,1,1,,
52,,2,1,2,1,2,1,,
53,,1,0,1,0,1,1,,
54,,2,1,2,0,2,0,,1
55,,2,0,2,0,1,1,,
56,,2,1,2,1,2,1,,
57,,1,0,1,0,1,1,,
58,,1,0,1,0,2,1,,
59,,1,1,1,0,1,0,,1
60,,1,1,1,1,2,1,,
61,,3,0,3,0,1,1,,
62,,1,0,1,1,2,0,,1
63,,2,0,2,0,1,1,,
64,,1,1,1,1,2,1,,
65,,1,0,1,0,1,1,,
66,,2,0,2,0,2,1,,
67,,1,0,1,0,1,1,,
68,,0,1,0,1,2,1,,
69,,1,1,1,1,1,1,,
70,,1,0,1,0,2,1,,
71,,1,0,1,0,1,1,,
72,,5,0,5,0,2,1,,
73,,1,0,1,0,1,1,,
74,,1,0,1,1,2,0,,1
75,,1,0,1,0,1,1,,
76,,2,0,2,0,2,1,,
77,,1,0,1,0,1,1,,
78,,1,0,1,0,2,1,,
79,,1,0,2,0,1,0,1,
80,,1,0,1,1,2,0,,1
81,,1,0,1,0,1,1,,
82,,2,0,2,0,2,1,,
83,,1,0,2,0,1,0,1,
84,,1,0,1,0,2,1,,
85,,1,0,1,0,1,1,,
86,,1,1,1,1,2,1,,
87,,2,0,2,0,1,1,,
88,,0,1,0,1,2,1,,
89,,1,1,1,1,1,1,,
90,,1,0,1,1,2,0,,1
91,,1,0,1,1,1,0,,1
92,,2,0,2,0,2,1,,
93,,1,0,1,0,1,1,,
94,,1,0,1,0,2,1,,
95,,2,1,2,1,1,1,,
96,,1,1,1,1,2,1,,
97,,5,1,5,1,1,1,,
98,,1,1,1,0,2,0,,1
99,,1,0,1,0,1,1,,
100,,2,0,2,1,2,0,,1
101,,1,0,1,0,1,1,,
102,,2,1,2,1,2,1,,
103,,1,0,1,1,1,0,,1
104,,1,0,0,1,2,0,1,1
105,,2,1,2,1,1,1,,
106,,0,1,0,0,2,0,,1
107,,1,0,1,0,1,1,,
108,,1,1,1,1,2,1,,
109,,1,0,1,0,1,1,,
110,,2,0,2,0,2,1,,
111,,1,0,1,0,1,1,,
112,,2,1,2,0,2,0,,1
113,,0,0,0,0,1,1,,
114,,0,0,0,1,2,0,,1
115,,1,0,1,0,1,1,,
116,,1,0,1,0,2,1,,
117,,1,0,1,0,1,1,,
118,,2,1,2,0,2,0,,1
119,,1,0,1,0,1,1,,
120,,1,0,1,0,2,1,,
121,,1,1,1,1,1,1,,
122,,1,0,1,0,2,1,,
123,,1,1,1,0,1,0,,1
124,,1,0,1,0,2,1,,
125,,1,1,1,1,1,1,,
126,,1,0,1,0,2,1,,
127,,0,0,0,0,1,1,,
128,,2,0,2,0,2,1,,
129,,2,1,2,0,1,0,,1
130,,1,0,1,0,2,1,,
131,,1,1,1,1,1,1,,
132,,1,1,1,1,2,1,,
133,,1,1,1,1,1,1,,
134,,3,1,3,1,2,1,,
135,,2,0,2,0,1,1,,
136,,1,0,1,0,2,1,,
137,,1,0,1,0,1,1,,
138,,1,1,1,1,2,1,,
139,,1,0,1,0,1,1,,
140,,1,0,1,1,2,0,,1
141,,1,1,1,0,1,0,,1
142,,1,0,1,0,2,1,,
143,,2,0,2,0,1,1,,
144,,1,1,1,1,2,1,,
145,,1,0,1,0,1,1,,
146,,1,0,1,0,2,1,,
147,,2,0,2,0,1,1,,
148,,1,0,1,0,2,1,,
149,,1,1,1,0,1,0,,1
150,,1,0,1,0,2,1,,
151,,1,1,1,1,1,1,,
152,,1,0,1,0,2,1,,
153,,2,0,2,0,1,1,,
154,,1,1,1,1,2,1,,
155,,1,0,1,0,1,1,,
156,,1,0,1,0,2,1,,
157,,1,1,1,0,1,0,,1
158,,2,0,2,0,2,1,,
159,,1,0,1,1,1,0,,1
160,,0,1,0,1,2,1,,
161,,1,0,1,0,1,1,,
162,,0,1,0,1,2,1,,
163,,1,0,1,0,1,1,,
164,,1,0,1,0,2,1,,
165,,1,1,1,0,1,0,,1
166,,0,1,0,1,2,1,,
167,,1,0,1,0,1,1,,
168,,0,1,0,1,2,1,,
169,,1,1,1,0,1,0,,1
170,,3,0,3,0,2,1,,
171,,2,1,2,1,1,1,,
172,,1,1,1,1,2,1,,
173,,1,0,1,0,1,1,,
174,,2,0,2,0,2,1,,
175,,0,0,0,1,1,0,,1
